azurerm_aadb2c_directory,Microsoft.AzureActiveDirectory/b2cDirectories
azurerm_media_content_key_policy,false
azurerm_media_job,false
azurerm_media_live_event,false
azurerm_media_live_event_output,false
azurerm_media_services_account,false
azurerm_media_streaming_endpoint,false
azurerm_media_streaming_locator,false
azurerm_media_streaming_policy,false
azurerm_media_transform,false
azurerm_monitor_aad_diagnostic_setting,false
azurerm_monitor_action_group,microsoft.insights/actiongroups
azurerm_monitor_action_rule_action_group,false
azurerm_monitor_action_rule_suppression,false
azurerm_monitor_activity_log_alert,false
azurerm_monitor_alert_processing_rule_action_group,false
azurerm_monitor_alert_processing_rule_suppression,false
azurerm_monitor_autoscale_setting,false
azurerm_monitor_data_collection_endpoint,false
azurerm_monitor_data_collection_rule,false
azurerm_monitor_data_collection_rule_association,false
azurerm_monitor_diagnostic_setting,false
azurerm_monitor_log_profile,false
azurerm_monitor_metric_alert,false
azurerm_monitor_private_link_scope,false
azurerm_monitor_private_link_scoped_service,false
azurerm_monitor_scheduled_query_rules_alert,false
azurerm_monitor_scheduled_query_rules_alert_v2,false
azurerm_monitor_scheduled_query_rules_log,false
azurerm_monitor_smart_detector_alert_rule,microsoft.alertsmanagement/smartDetectorAlertRules
azurerm_mssql_database,false
azurerm_mssql_database_extended_auditing_policy,false
azurerm_mssql_database_vulnerability_assessment_rule_baseline,false
azurerm_mssql_elasticpool,false
azurerm_mssql_failover_group,false
azurerm_mssql_firewall_rule,false
azurerm_mssql_job_agent,false
azurerm_mssql_job_credential,false
azurerm_mssql_managed_database,false
azurerm_mssql_managed_instance,false
azurerm_mssql_managed_instance_active_directory_administrator,false
azurerm_mssql_managed_instance_failover_group,false
azurerm_mssql_managed_instance_vulnerability_assessment,false
azurerm_mssql_outbound_firewall_rule,false
azurerm_mssql_server,false
azurerm_mssql_server_dns_alias,false
azurerm_mssql_server_extended_auditing_policy,false
azurerm_mssql_server_security_alert_policy,false
azurerm_mssql_server_transparent_data_encryption,false
azurerm_mssql_server_vulnerability_assessment,false
azurerm_mssql_virtual_machine,false
azurerm_mssql_virtual_network_rule,false
azurerm_mysql_active_directory_administrator,false
azurerm_mysql_configuration,false
azurerm_mysql_database,false
azurerm_mysql_firewall_rule,false
azurerm_mysql_flexible_database,false
azurerm_mysql_flexible_server,false
azurerm_mysql_flexible_server_configuration,false
azurerm_mysql_flexible_server_firewall_rule,false
azurerm_mysql_server,false
azurerm_mysql_server_key,false
azurerm_mysql_virtual_network_rule,false
azurerm_nat_gateway,false
azurerm_nat_gateway_public_ip_association,false
azurerm_nat_gateway_public_ip_prefix_association,false
azurerm_netapp_account,false
azurerm_netapp_pool,false
azurerm_netapp_snapshot,false
azurerm_netapp_snapshot_policy,false
azurerm_netapp_volume,false
azurerm_network_connection_monitor,false
